admin_area_1,admin_area_2,count,facility_id,indicator_common_id,indicator_id,indicator_label,month,period_id,year
Bangladesh,Rajshahi Division,77,ABDYRR00inN,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Rajshahi Division,80,ABDYRR00inN,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Rajshahi Division,86,ABDYRR00inN,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Rajshahi Division,75,ABDYRR00inN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Rajshahi Division,80,ABDYRR00inN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Rajshahi Division,86,ABDYRR00inN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Rajshahi Division,9655,ABDYRR00inN,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Rajshahi Division,7329,ABDYRR00inN,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Rajshahi Division,10416,ABDYRR00inN,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Rajshahi Division,753,ABDYRR00inN,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Rajshahi Division,759,ABDYRR00inN,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Rajshahi Division,697,ABDYRR00inN,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Chattogram Division,8379,ADgCqo7XEdN,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Chattogram Division,9019,ADgCqo7XEdN,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Chattogram Division,7328,ADgCqo7XEdN,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Chattogram Division,1641,ADgCqo7XEdN,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Chattogram Division,1443,ADgCqo7XEdN,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Chattogram Division,1601,ADgCqo7XEdN,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Chattogram Division,508,ADgCqo7XEdN,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Chattogram Division,555,ADgCqo7XEdN,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Chattogram Division,626,ADgCqo7XEdN,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Chattogram Division,259,ADgCqo7XEdN,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Chattogram Division,249,ADgCqo7XEdN,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Chattogram Division,334,ADgCqo7XEdN,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Chattogram Division,387,ADgCqo7XEdN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Chattogram Division,356,ADgCqo7XEdN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Chattogram Division,461,ADgCqo7XEdN,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Chattogram Division,112893,ADgCqo7XEdN,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Chattogram Division,87435,ADgCqo7XEdN,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Chattogram Division,121711,ADgCqo7XEdN,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Chattogram Division,6655,ADgCqo7XEdN,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Chattogram Division,11087,ADgCqo7XEdN,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Chattogram Division,6570,ADgCqo7XEdN,penta1,Penta 1 given (0-11m),Penta vaccine 1,07,202307,2023
Bangladesh,Dhaka Division,727,AH2zdy0wlkK,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Dhaka Division,675,AH2zdy0wlkK,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Dhaka Division,642,AH2zdy0wlkK,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Dhaka Division,757,AH2zdy0wlkK,penta1,Penta 1 given (0-11m),Penta vaccine 1,05,202305,2023
Bangladesh,Dhaka Division,669,AH2zdy0wlkK,penta1,Penta 1 given (0-11m),Penta vaccine 1,06,202306,2023
Bangladesh,Chattogram Division,1468,AMvEzJnrbM8,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Chattogram Division,1344,AMvEzJnrbM8,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Chattogram Division,1315,AMvEzJnrbM8,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
